trip_id,user_id,trip_timestamp,fare,payment_method_hash,is_fraud,signup_date,device_id
4195,0,2025-01-02 18:59:00,33.5,card_856,0,2024-01-30,device_184
1661,0,2025-01-09 19:54:00,10.19,card_410,0,2024-01-30,device_184
6008,0,2025-01-10 22:32:00,84.53,card_624,0,2024-01-30,device_184
4289,0,2025-01-11 04:53:00,13.6,card_529,0,2024-01-30,device_184
5256,0,2025-01-15 02:54:00,53.49,card_830,0,2024-01-30,device_184
5188,0,2025-01-15 21:06:00,66.91,card_513,0,2024-01-30,device_184
3514,0,2025-01-24 16:25:00,68.24,card_59,0,2024-01-30,device_184
3627,0,2025-01-29 16:51:00,34.33,card_455,0,2024-01-30,device_184
5724,0,2025-01-29 23:33:00,41.11,card_168,0,2024-01-30,device_184
1342,0,2025-01-30 21:42:00,61.21,card_428,0,2024-01-30,device_184
8029,1,2025-01-09 18:49:00,21.17,card_283,0,2024-07-29,device_204
6428,1,2025-01-09 21:53:00,5.68,card_307,0,2024-07-29,device_204
9157,1,2025-01-10 23:29:00,50.02,card_225,0,2024-07-29,device_204
4117,1,2025-01-11 09:46:00,46.21,card_592,0,2024-07-29,device_204
4107,1,2025-01-13 22:42:00,57.9,card_522,0,2024-07-29,device_204
9670,1,2025-01-15 23:09:00,5.94,card_409,0,2024-07-29,device_204
8133,1,2025-01-21 07:38:00,82.43,card_684,0,2024-07-29,device_204
7586,1,2025-01-22 04:08:00,53.91,card_4,0,2024-07-29,device_204
2251,1,2025-01-28 01:23:00,5.78,card_732,0,2024-07-29,device_204
2632,2,2025-01-01 09:33:00,12.78,card_179,0,2024-03-04,device_474
7383,2,2025-01-09 06:08:00,53.19,card_811,0,2024-03-04,device_474
4779,2,2025-01-09 18:17:00,32.39,card_597,0,2024-03-04,device_474
6325,2,2025-01-10 13:41:00,39.71,card_752,0,2024-03-04,device_474
2707,2,2025-01-14 05:54:00,52.03,card_393,0,2024-03-04,device_474
1364,2,2025-01-16 18:24:00,79.56,card_85,0,2024-03-04,device_474
4174,2,2025-01-20 11:23:00,62.48,card_762,0,2024-03-04,device_474
8191,2,2025-01-25 00:57:00,16.45,card_430,0,2024-03-04,device_474
9240,2,2025-01-28 19:28:00,56.82,card_40,0,2024-03-04,device_474
8694,3,2025-01-03 08:04:00,99.45,card_669,0,2024-04-07,device_562
7276,3,2025-01-08 10:00:00,72.11,card_462,0,2024-04-07,device_562
7810,3,2025-01-08 20:51:00,7.14,card_697,0,2024-04-07,device_562
7249,3,2025-01-14 03:28:00,25.03,card_769,0,2024-04-07,device_562
6581,3,2025-01-17 16:57:00,29.0,card_328,0,2024-04-07,device_562
8128,3,2025-01-29 09:57:00,91.41,card_105,0,2024-04-07,device_562
20,3,2025-01-29 22:28:00,17.36,card_229,0,2024-04-07,device_562
2841,4,2025-01-01 03:37:00,20.21,card_808,0,2024-04-12,device_375
7338,4,2025-01-01 11:46:00,72.79,card_890,0,2024-04-12,device_375
8501,4,2025-01-05 13:13:00,46.83,card_345,0,2024-04-12,device_375
7825,4,2025-01-05 13:15:00,30.09,card_282,1,2024-04-12,device_375
9833,4,2025-01-12 01:32:00,96.83,card_310,0,2024-04-12,device_375
7599,4,2025-01-12 08:27:00,22.41,card_73,0,2024-04-12,device_375
5736,4,2025-01-14 17:52:00,23.53,card_893,0,2024-04-12,device_375
8129,4,2025-01-15 02:50:00,23.3,card_147,0,2024-04-12,device_375
7238,4,2025-01-16 18:26:00,70.74,card_621,0,2024-04-12,device_375
1623,4,2025-01-23 05:00:00,61.04,card_846,0,2024-04-12,device_375
1361,4,2025-01-25 02:14:00,27.13,card_553,0,2024-04-12,device_375
7729,4,2025-01-26 21:51:00,12.76,card_469,0,2024-04-12,device_375
868,4,2025-01-30 08:54:00,52.38,card_743,0,2024-04-12,device_375
1674,4,2025-01-30 11:37:00,31.25,card_23,0,2024-04-12,device_375
7200,5,2025-01-01 03:31:00,54.33,card_483,0,2024-05-28,device_13
9347,5,2025-01-12 01:58:00,80.32,card_505,0,2024-05-28,device_13
8041,5,2025-01-12 14:46:00,10.27,card_766,0,2024-05-28,device_13
444,5,2025-01-13 09:06:00,80.88,card_872,0,2024-05-28,device_13
5245,5,2025-01-17 06:39:00,95.19,card_469,0,2024-05-28,device_13
8858,5,2025-01-17 12:15:00,69.46,card_733,0,2024-05-28,device_13
4093,5,2025-01-18 21:09:00,22.13,card_91,0,2024-05-28,device_13
7826,5,2025-01-19 19:24:00,42.18,card_268,0,2024-05-28,device_13
3752,5,2025-01-20 09:33:00,79.07,card_490,0,2024-05-28,device_13
9008,5,2025-01-22 21:29:00,62.07,card_213,0,2024-05-28,device_13
9959,5,2025-01-24 15:43:00,95.94,card_205,0,2024-05-28,device_13
5258,5,2025-01-27 13:45:00,57.47,card_149,0,2024-05-28,device_13
6449,5,2025-01-29 06:37:00,32.71,card_374,0,2024-05-28,device_13
6906,6,2025-01-01 04:31:00,69.73,card_160,0,2024-03-02,device_713
